"","npred","ef","n","dmu"
"1",8,0.5,0.5,0.6043
"2",8,0.2,0.5,0.6043
"3",8,0.02,0.5,0.6043
"4",8,0.5,1,0.6043
"5",8,0.2,1,0.6043
"6",8,0.02,1,0.6043
"7",8,0.5,2,0.6043
"8",8,0.2,2,0.6043
"9",8,0.02,2,0.6043
"10",16,0.5,0.5,0.4854
"11",16,0.2,0.5,0.4854
"12",16,0.02,0.5,0.4854
"13",16,0.5,1,0.4854
"14",16,0.2,1,0.4854
"15",16,0.02,1,0.4854
"16",16,0.5,2,0.4854
"17",16,0.2,2,0.4854
"18",16,0.02,2,0.4854
"19",28,0.5,0.5,0.4225
"20",28,0.2,0.5,0.4225
"21",28,0.02,0.5,0.4225
"22",28,0.5,1,0.4225
"23",28,0.2,1,0.4225
"24",28,0.02,1,0.4225
"25",28,0.5,2,0.4225
"26",28,0.2,2,0.4225
"27",28,0.02,2,0.4225
